2015-06-15 13:05:47,154 | WARN  | Transport Connection to: tcp://127.0.0.1:53383 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:53383
2015-06-15 13:05:47,163 | WARN  | Transport Connection to: tcp://127.0.0.1:53385 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:53385
2015-06-15 13:05:47,157 | WARN  | Transport Connection to: tcp://127.0.0.1:53384 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:53384
2015-06-15 13:10:36,342 | WARN  | Transport Connection to: tcp://127.0.0.1:53896 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:53896
2015-06-15 13:10:36,344 | WARN  | Transport Connection to: tcp://127.0.0.1:53900 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:53900
2015-06-15 13:10:36,343 | WARN  | Transport Connection to: tcp://127.0.0.1:53897 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:53897
2015-06-15 13:10:36,346 | WARN  | Transport Connection to: tcp://127.0.0.1:53898 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:53898
2015-06-15 13:10:36,349 | WARN  | Transport Connection to: tcp://127.0.0.1:53899 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:53899
2015-06-15 13:18:23,786 | WARN  | Transport Connection to: tcp://127.0.0.1:54692 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:54692
2015-06-15 13:18:23,788 | WARN  | Transport Connection to: tcp://127.0.0.1:54695 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:54695
